"L1","R1","L2","R2","result"
"2","2","2","3",""
"2","2","2","4",""
"2","2","3","0",""
"2","2","3","1","LL"
"2","2","3","2",""
"2","2","3","3","RL"
"2","2","3","4",""
"2","2","4","0",""
"2","2","4","1","RL"
"2","2","4","2",""
"2","2","4","3",""
"2","2","4","4",""
"2","3","0","0",""
"2","3","0","1","LR"
"2","3","0","2","LR"
"2","3","0","3",""
"2","3","0","4",""
"2","3","1","0","LL"
"2","3","1","1","RL"
"2","3","1","2","RR"
"2","3","1","3","LR"
"2","3","1","4","RR"
"2","3","2","0","LL"
"2","3","2","1","RL"
"2","3","2","2","RR"
"2","3","2","3","RR"
"2","3","2","4","RR"
"2","3","3","0",""
"2","3","3","1","RR"
"2","3","3","2","RR"
"2","3","3","3","LR"
"2","3","3","4",""
"2","3","4","0",""
"2","3","4","1","RL"
"2","3","4","2","RL"
"2","3","4","3",""
"2","3","4","4",""
"2","4","0","0",""
"2","4","0","1","RR"
"2","4","0","2","S"
"2","4","0","3","LR"
"2","4","0","4",""
"2","4","1","0","RL"
"2","4","1","1","S"
"2","4","1","2","RR"
"2","4","1","3","S"
"2","4","1","4",""
"2","4","2","0","LL"
"2","4","2","1","RR"
"2","4","2","2","LL"
"2","4","2","3","RL"
"2","4","2","4","RL"
"2","4","3","0","S"
"2","4","3","1","RR"
"2","4","3","2","RL"
"2","4","3","3","LL"
"2","4","3","4","RR"
"2","4","4","0",""
"2","4","4","1","RL"
"2","4","4","2","RL"
"2","4","4","3","RR"
"2","4","4","4",""
"3","0","0","0",""
"3","0","0","1","LR"
"3","0","0","2","LR"
"3","0","0","3","LR"
"3","0","0","4","LR"
"3","0","1","0","LL"
"3","0","1","1","LR"
"3","0","1","2","LR"
"3","0","1","3","LR"
"3","0","1","4","LR"
"3","0","2","0","LL"
"3","0","2","1","LL"
"3","0","2","2","LL"
"3","0","2","3","LR"
"3","0","2","4","LL"
"3","0","3","0","LL"
"3","0","3","1","LL"
"3","0","3","2",""
"3","0","3","3",""
"3","0","3","4",""
"3","0","4","0","LL"
"3","0","4","1","LL"
"3","0","4","2","LL"
"3","0","4","3","LR"
"3","0","4","4","LL"
"3","1","0","0",""
"3","1","0","1","S"
"3","1","0","2","S"
"3","1","0","3",""
"3","1","0","4",""
"3","1","1","0","S"
"3","1","1","1","S"
"3","1","1","2","LR"
"3","1","1","3","RR"
"3","1","1","4","RL"
"3","1","2","0","RL"
"3","1","2","1","LL"
"3","1","2","2","RR"
"3","1","2","3","LL"
"3","1","2","4","S"
"3","1","3","0",""
"3","1","3","1","RL"
"3","1","3","2","LR"
"3","1","3","3","LL"
"3","1","3","4",""
"3","1","4","0",""
"3","1","4","1","LL"
"3","1","4","2","S"
"3","1","4","3",""
"3","1","4","4",""
"3","2","0","0",""
"3","2","0","1","LR"
"3","2","0","2","RR"
"3","2","0","3",""
"3","2","0","4",""
"3","2","1","0","LL"
"3","2","1","1","LR"
"3","2","1","2","LR"
"3","2","1","3","LR"
"3","2","1","4","LR"
"3","2","2","0","RL"
"3","2","2","1","LL"
"3","2","2","2","LL"
"3","2","2","3","LL"
"3","2","2","4",""
"3","2","3","0",""
"3","2","3","1","LL"
"3","2","3","2","LL"
"3","2","3","3","LR"
"3","2","3","4",""
"3","2","4","0",""
"3","2","4","1","RL"
"3","2","4","2","LR"
"3","2","4","3",""
"3","2","4","4",""
"3","3","0","0",""
"3","3","0","1","LR"
"3","3","0","2","RR"
"3","3","0","3",""
"3","3","0","4",""
"3","3","1","0","LL"
"3","3","1","1","LR"
"3","3","1","2","LR"
"3","3","1","3","RR"
"3","3","1","4","RR"
"3","3","2","0","RL"
"3","3","2","1","RL"
"3","3","2","2","LR"
"3","3","2","3","RR"
"3","3","2","4","LR"
"3","3","3","0",""
"3","3","3","1",""
"3","3","3","2","RR"
"3","3","3","3","LR"
"3","3","3","4",""
"3","3","4","0",""
"3","3","4","1","RL"
"3","3","4","2","RL"
"3","3","4","3",""
"3","3","4","4",""
"3","4","0","0",""
"3","4","0","1","LR"
"3","4","0","2","RR"
"3","4","0","3","RR"
"3","4","0","4",""
"3","4","1","0","LL"
"3","4","1","1","RL"
"3","4","1","2","RL"
"3","4","1","3","RR"
"3","4","1","4","RL"
"3","4","2","0","RL"
"3","4","2","1","LR"
"3","4","2","2","LL"
"3","4","2","3","LL"
"3","4","2","4","LR"
"3","4","3","0","LL"
"3","4","3","1","LL"
"3","4","3","2","RR"
"3","4","3","3","LL"
"3","4","3","4","LR"
"3","4","4","0",""
"3","4","4","1","RR"
"3","4","4","2","RR"
"3","4","4","3","LL"
"3","4","4","4",""
"4","0","0","0",""
"4","0","0","1","LR"
"4","0","0","2","LR"
"4","0","0","3","S"
